title,title_url,title1,price,star,review,details,adult_info
スーパーホテルPremier東京駅八重洲中央口　高濃度炭酸泉,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=379411&callbackHistFlg=1,お陰様でJ.D.パワー宿泊客満足度10年連続＆JCSI顧客満足度No.1受賞,13300,4.5,4451,東京駅から徒歩3分！東京駅前にありながら、大浴場“八重桜の湯”では2種類の浴槽「高濃度人工炭酸泉」と「健康イオン水泉」をお楽しみ頂けます。【おもてなし規格 紫認証ホテル（経済産業省）】,大人1名(税込)
スーパーホテル東京赤羽駅南口 高濃度炭酸泉東京都北区赤羽の湯,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=399570&callbackHistFlg=1,大宮・上野・池袋・新宿・東京など各方面へアクセス抜群です！,7030,4.5,642,各メディアでも数々取り上げられている東京都北区赤羽の魅力を最大限に発信できるよう、近隣飲食店コラボ企画やウェルカムバーなどを企画中！,大人1名(税込)
明神の湯　ドーミーインＰＲＥＭＩＵＭ神田,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=377788&callbackHistFlg=1,ドーミーインPREMIUM神田◇銀座線神田駅6番出口より徒歩1分！◇,12500,4.5,30,最上階にサウナ付男女別超軟水大浴場 館内喫煙ブース完備 徒歩5分圏内で6駅8路線乗入れ可能,大人1名(税込)
ダイワロイネットホテル東京京橋 PREMIER,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=370598&callbackHistFlg=1,「京橋駅」より徒歩約1分。「東京駅」徒歩圏内。東京旅の拠点に！,14700,4.4,37,東京メトロ「京橋駅」より徒歩約1分。銀座・日本橋のメインストリートに面した好立地。「東京駅」は徒歩圏内の魅力的なロケーション。1階に「コンビニ」があり便利。バス・トイレ別。観光・ビジネスの拠点に,大人1名(税込)
ホテルメトロポリタン丸の内,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=303873&callbackHistFlg=1,JR東京駅日本橋口直結　東京駅上空で上質なホテルステイを,25560,4.5,2578,贅沢なロケーションの“天空ホテル”。静かな安らぎ空間でゆったりとお寛ぎください。,大人1名(税込)
ホテルかずさや,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=361698&callbackHistFlg=1,期間限定クーポン有！大浴場付★朝食口コミ4.6！日本橋老舗ホテル,16190,4.5,44,和モダンな大浴場や江戸の粋を感じられる色を使用したお部屋 朝食口コミ4.6！素材にこだわった自慢の和定食 JR新日本橋駅～徒歩1分！神田駅/三越前駅/小伝馬町駅～徒歩5分とアクセスも抜群！！,大人1名(税込)
アパホテル〈神田駅東〉（2025年2月客室設備リニューアル）,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=391408&callbackHistFlg=1,東京・秋葉原まで1駅！日本武道館、東京ドームにも好アクセス！,5600,4.0,980,【 全室禁煙 】JR「神田駅」東口から徒歩7分。さらに都営新宿線「岩本町駅」、東京メトロ日比谷線「小伝馬町駅」、JR総武本線「新日本橋駅」が徒歩圏内の好立地！コンビニまで徒歩30秒！,大人1名(税込)
ホテル八重の翠東京,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=397215&callbackHistFlg=1,東京駅から徒歩10分！！　東京観光やディズニーリゾートに最適！！,13500,4.3,264,【東京観光に便利な立地！記念日やライブ・イベントの推し活にも◎】 東京ディズニーリゾートやスカイツリーなど、観光で行きたい所まで電車で20分圏内！チェックアウト後の荷物のお預かりもＯＫ(当日内),大人1名(税込)
東京ステーションホテル,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=387456&callbackHistFlg=1,【JR東京駅丸の内南口直結】東京駅のクラシックホテル,63938,4.7,860,国指定重要文化財である歴史的建造物やかつての文豪が愛したStoryなど大正の時代からのアカデミックな伝統が息づく場所でありながら、現代のホテルに求められる機能性も満たす、洗練されたOMOTENASHI。,大人1名(税込)
hotel MONday 東京西葛西,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=379405&callbackHistFlg=1,★TDR行バス毎日運行中★駅近★西葛西駅徒歩1分,6300,4.7,180,駅近☆東西線西葛西駅徒歩1分！☆家族や友達で便利なコネクティングルーム有◎シングル・カップル利用も大歓迎◎★舞浜⇔ホテル無料バスは毎日運行中★朝食ビュッフェも大人気♪,大人1名(税込)
